,{},"{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Merlot', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Chardonnay', 'Shiraz', 'Tempranillo', 'Cabernet Sauvignon', 'Pinot Noir', 'Grenache'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Shiraz', 'Grenache', 'Chardonnay', 'Malbec'}, 'Type': {'White', 'Red'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Cabernet Sauvignon', 'Merlot', 'Pinot Noir', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}","{'Grape': {'Sauvignon Blanc', 'Tempranillo', 'Merlot', 'Pinot Noir', 'Grenache', 'Chardonnay', 'Malbec', 'Shiraz'}, 'Type': {'White', 'Red', 'Rosé'}}"
92,1,1,1,1,1,1,1,1,1,0,1
93,1,1,1,1,1,1,1,1,0,0,1
94,1,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0,0,0
96,1,1,1,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1,1,1
98,1,0,0,0,0,0,0,0,0,0,0
99,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1
101,1,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0,0,0
103,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1
105,1,0,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0,0
107,1,0,0,0,0,0,0,0,0,0,0
108,1,0,0,0,0,0,0,0,0,0,0
109,1,1,1,1,1,1,1,1,0,0,1
110,1,0,0,0,0,0,0,0,0,0,0
111,1,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1,1,1,1
113,1,0,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,0,0
115,1,0,0,0,0,0,0,0,0,0,0
116,1,1,1,1,1,1,1,1,1,0,1
117,1,1,1,1,1,1,1,1,0,1,1
118,1,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,0,0,1
120,1,0,0,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,0
123,1,1,1,1,1,1,1,1,1,1,0
124,1,1,1,1,1,1,1,1,1,1,1
125,1,1,0,1,1,1,0,0,1,1,1
126,1,1,1,1,1,0,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1,1
128,1,1,1,1,0,1,1,0,1,1,1
129,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1,1,1,1
132,1,0,0,0,0,0,0,0,0,0,0
133,1,1,1,1,1,1,1,1,0,0,1
134,1,1,1,1,1,1,1,1,1,1,0
135,1,0,0,0,0,0,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0,0,0
137,1,0,0,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,0,0,0,0
139,1,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1,1,0,1,1
141,1,1,1,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1,1,1,0
143,1,1,1,1,1,1,1,1,0,0,1
144,1,1,1,1,1,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1,1,1,1
148,1,0,0,0,0,0,0,0,0,0,0
149,1,0,0,0,0,0,0,0,0,0,0
150,1,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1,1
154,1,0,0,0,0,0,0,0,0,0,0
155,1,1,1,1,1,1,1,1,1,1,1
156,1,0,0,0,0,0,0,0,0,0,0
157,1,0,0,0,0,0,0,0,0,0,0
158,1,1,1,1,1,1,1,1,0,0,1
159,1,0,0,0,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0,0,0,0,0
161,1,0,0,0,0,0,0,0,0,0,0
162,1,1,1,0,1,1,0,1,1,1,1
163,1,0,0,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0,0,0,0,0
167,1,1,0,1,1,1,0,0,1,1,1
168,1,1,1,1,1,1,1,1,1,1,0
169,1,0,0,0,0,0,0,0,0,0,0
170,1,1,1,1,1,1,1,1,1,1,0
171,1,1,1,0,1,1,0,1,1,1,1
172,1,0,0,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0,0
175,1,1,1,1,1,1,1,1,1,0,1
176,1,1,1,1,1,1,1,1,1,0,1
177,1,1,1,1,1,1,1,1,1,0,1
178,1,1,1,1,1,1,1,1,1,1,1
179,1,0,0,0,0,0,0,0,0,0,0
180,1,0,0,0,0,0,0,0,0,0,0
181,1,1,1,1,1,1,1,1,1,0,1
182,1,1,1,1,1,1,1,1,1,0,1
183,1,0,0,0,0,0,0,0,0,0,0
184,1,0,0,0,0,0,0,0,0,0,0
185,1,0,0,0,0,0,0,0,0,0,0
186,1,0,0,0,0,0,0,0,0,0,0
187,1,0,0,0,0,0,0,0,0,0,0
188,1,0,0,0,0,0,0,0,0,0,0
189,1,0,0,0,0,0,0,0,0,0,0
190,1,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1,1,1,1
192,1,0,0,0,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,0,0,0,0
194,1,1,1,1,1,0,1,1,1,1,1
195,1,1,1,1,1,1,1,1,0,1,1
196,1,1,1,1,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1,0,1,1
199,1,1,1,1,0,1,1,0,0,1,1
200,1,0,0,0,0,0,0,0,0,0,0
201,1,1,0,1,1,1,0,0,1,1,1
202,1,1,1,1,1,1,1,1,0,0,1
203,1,1,1,1,1,1,1,1,0,0,1
204,1,1,1,1,1,1,1,1,1,1,0
205,1,0,0,0,0,0,0,0,0,0,0
206,1,0,0,0,0,0,0,0,0,0,0
207,1,1,1,1,1,0,1,1,1,1,1
208,1,0,0,0,0,0,0,0,0,0,0
209,1,1,1,0,1,1,0,1,1,1,1
210,1,1,1,1,1,1,1,1,0,0,1
211,1,1,1,1,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,1,1,1,0
213,1,1,1,1,0,1,1,0,0,1,1
214,1,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,0,0
216,1,1,1,1,1,1,1,1,0,1,1
217,1,0,0,0,0,0,0,0,0,0,0
218,1,1,1,1,1,1,1,1,0,0,1
219,1,1,1,1,1,1,1,1,0,0,1
220,1,1,1,1,1,1,1,1,0,0,1
221,1,1,1,1,1,0,1,1,0,1,1
222,1,1,1,1,1,1,1,1,0,0,1
223,1,0,0,0,0,0,0,0,0,0,0
224,1,1,1,1,0,1,1,0,1,1,1
225,1,0,0,0,0,0,0,0,0,0,0
226,1,1,1,1,1,1,1,1,0,1,1
227,1,1,1,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1,1,1,1
229,1,0,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,0,0,0,0,0,0
231,1,1,1,1,1,1,1,1,1,1,0
232,1,1,1,1,0,1,1,0,1,1,1
233,1,0,0,0,0,0,0,0,0,0,0
234,1,0,0,0,0,0,0,0,0,0,0
235,1,1,1,1,1,1,1,1,1,1,1
236,1,1,0,1,1,1,0,0,1,1,1
237,1,1,1,0,1,1,0,1,1,1,1
238,1,0,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,0,0
240,1,1,1,1,1,1,1,1,1,1,1
241,1,0,0,0,0,0,0,0,0,0,0
242,1,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,0,1,1,0,1,1,1
244,1,1,1,1,1,0,1,1,1,1,1
245,1,1,1,1,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1,1,1,0,1
247,1,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,0,1,1
249,1,1,1,1,1,1,1,1,1,1,0
250,1,1,1,1,1,1,1,1,1,1,1
251,1,0,0,0,0,0,0,0,0,0,0
252,1,1,1,1,1,1,1,1,1,1,1
253,1,1,1,1,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1,1,1,1,1
255,1,1,1,1,1,1,1,1,1,1,1
256,1,0,0,0,0,0,0,0,0,0,0
257,1,1,1,1,1,1,1,1,1,1,0
258,1,1,1,1,1,1,1,1,1,1,0
259,1,1,1,1,1,1,1,1,1,1,1
260,1,0,0,0,0,0,0,0,0,0,0
261,1,1,0,1,1,1,0,0,1,1,1
262,1,1,1,1,1,0,1,1,1,1,1
263,1,0,0,0,0,0,0,0,0,0,0
264,1,1,1,1,1,1,1,1,1,1,1
265,1,0,0,0,0,0,0,0,0,0,0
266,1,1,1,1,1,1,1,1,1,1,1
267,1,1,1,0,1,1,0,1,1,1,1
268,1,0,0,0,0,0,0,0,0,0,0
269,1,1,1,1,1,1,1,1,1,1,1
270,1,0,0,0,0,0,0,0,0,0,0
271,1,1,1,1,0,1,1,0,1,1,1
272,1,1,1,1,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1,1,1,1,1
274,1,1,1,1,1,1,1,1,1,1,1
275,1,1,1,1,1,1,1,1,1,1,1
276,1,1,1,1,1,1,1,1,1,1,1
277,1,0,0,0,0,0,0,0,0,0,0
278,1,1,1,1,1,1,1,1,1,1,1
279,1,0,0,0,0,0,0,0,0,0,0
280,1,0,0,0,0,0,0,0,0,0,0
281,1,1,1,1,1,1,1,1,1,1,1
282,1,1,1,1,1,1,1,1,1,1,1
283,1,1,0,1,1,1,0,0,1,1,1
284,1,1,1,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1,1,1,0,1
287,1,1,1,1,0,1,1,0,1,1,1
288,1,0,0,0,0,0,0,0,0,0,0
289,1,0,0,0,0,0,0,0,0,0,0
290,1,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1,1,1,1,1
292,1,1,1,1,1,1,1,1,1,0,1
293,1,1,1,1,1,1,1,1,0,1,1
294,1,1,1,1,1,1,1,1,1,1,1
295,1,1,1,1,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1,1,1,1,1
297,1,0,0,0,0,0,0,0,0,0,0
298,1,1,1,1,1,0,1,1,1,1,1
299,1,1,0,1,1,1,0,0,1,1,1
300,1,1,0,1,1,1,0,0,1,1,1
301,1,1,1,1,1,1,1,1,1,1,1
302,1,1,1,1,1,0,1,1,1,1,1
303,1,0,0,0,0,0,0,0,0,0,0
304,1,0,0,0,0,0,0,0,0,0,0
305,1,1,1,1,1,1,1,1,1,1,1
306,1,0,0,0,0,0,0,0,0,0,0
307,1,1,1,1,1,1,1,1,1,1,1
308,1,0,0,0,0,0,0,0,0,0,0
309,1,1,1,1,1,1,1,1,1,1,1
310,1,0,0,0,0,0,0,0,0,0,0
311,1,0,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0,0
313,1,0,0,0,0,0,0,0,0,0,0
314,1,1,1,1,1,1,1,1,1,1,1
315,1,1,1,1,1,1,1,1,1,1,1
316,1,0,0,0,0,0,0,0,0,0,0
317,1,1,1,1,1,1,1,1,1,1,1
318,1,0,0,0,0,0,0,0,0,0,0
319,1,1,1,1,1,1,1,1,1,1,0
320,1,0,0,0,0,0,0,0,0,0,0
321,1,1,1,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,0
323,1,0,0,0,0,0,0,0,0,0,0
324,1,1,1,1,1,0,1,1,1,1,1
325,1,0,0,0,0,0,0,0,0,0,0
326,1,0,0,0,0,0,0,0,0,0,0
327,1,1,1,1,1,1,1,1,1,1,1
328,1,0,0,0,0,0,0,0,0,0,0
329,1,0,0,0,0,0,0,0,0,0,0
330,1,0,0,0,0,0,0,0,0,0,0
331,1,0,0,0,0,0,0,0,0,0,0
332,1,1,1,1,1,1,1,1,1,1,1
333,1,1,1,1,1,0,1,1,1,1,1
334,1,1,1,1,1,1,1,1,1,1,1
335,1,0,0,0,0,0,0,0,0,0,0
336,1,1,1,1,1,1,1,1,1,1,1
337,1,0,0,0,0,0,0,0,0,0,0
338,1,1,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,0,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1,1
341,1,1,1,1,1,1,1,1,1,1,1
342,1,0,0,0,0,0,0,0,0,0,0
343,1,0,0,0,0,0,0,0,0,0,0
344,1,0,0,0,0,0,0,0,0,0,0
345,1,1,0,1,1,1,0,0,1,1,1
346,1,0,0,0,0,0,0,0,0,0,0
347,1,0,0,0,0,0,0,0,0,0,0
348,1,0,0,0,0,0,0,0,0,0,0
349,1,1,1,1,1,1,1,1,1,1,0
350,1,0,0,0,0,0,0,0,0,0,0
351,1,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,1,0,1,1,1,1,1
353,1,1,1,1,1,1,1,1,1,1,1
354,1,0,0,0,0,0,0,0,0,0,0
355,1,0,0,0,0,0,0,0,0,0,0
356,1,1,1,1,1,1,1,1,0,1,1
357,1,1,1,1,1,1,1,1,1,1,1
358,1,1,1,0,1,1,0,1,1,1,1
359,1,1,1,1,1,1,1,1,0,1,1
360,1,1,1,1,0,1,1,0,1,1,1
361,1,1,1,1,1,0,1,1,1,1,1
362,1,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1,0
364,1,0,0,0,0,0,0,0,0,0,0
365,1,1,1,1,1,1,1,1,0,1,1
366,1,1,1,1,0,1,1,0,1,1,1
367,1,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1,1,1
370,1,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1,1,1,1,1
373,1,0,0,0,0,0,0,0,0,0,0
374,1,0,0,0,0,0,0,0,0,0,0
375,1,1,1,1,1,1,1,1,1,1,1
376,1,0,0,0,0,0,0,0,0,0,0
377,1,1,1,1,1,1,1,1,1,1,1
378,1,1,1,1,1,1,1,1,1,0,1
379,1,0,0,0,0,0,0,0,0,0,0
380,1,0,0,0,0,0,0,0,0,0,0
381,1,0,0,0,0,0,0,0,0,0,0
382,1,1,1,1,1,1,1,1,1,1,0
383,1,1,1,1,1,0,1,1,1,1,1
384,1,0,0,0,0,0,0,0,0,0,0
385,1,1,1,1,1,0,1,1,1,1,1
386,1,1,1,1,1,1,1,1,1,1,0
387,1,1,1,1,1,1,1,1,1,1,1
388,1,0,0,0,0,0,0,0,0,0,0
389,1,1,1,0,1,1,0,1,1,1,1
390,1,1,1,1,1,1,1,1,1,1,1
391,1,1,1,1,0,1,1,0,1,1,1
392,1,1,0,1,1,1,0,0,1,1,1
393,1,0,0,0,0,0,0,0,0,0,0
394,1,0,0,0,0,0,0,0,0,0,0
395,1,0,0,0,0,0,0,0,0,0,0
396,1,0,0,0,0,0,0,0,0,0,0
397,1,0,0,0,0,0,0,0,0,0,0
398,1,1,1,1,1,1,1,1,1,1,0
399,1,1,1,1,1,1,1,1,1,1,1
400,1,0,0,0,0,0,0,0,0,0,0
401,1,1,1,1,1,1,1,1,0,0,1
402,1,0,0,0,0,0,0,0,0,0,0
403,1,1,1,1,1,1,1,1,1,1,1
404,1,0,0,0,0,0,0,0,0,0,0
405,1,1,1,1,1,1,1,1,1,0,1
406,1,1,1,1,1,1,1,1,1,1,1
407,1,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1,1,1,1,1
410,1,0,0,0,0,0,0,0,0,0,0
411,1,0,0,0,0,0,0,0,0,0,0
412,1,1,1,1,1,1,1,1,1,1,0
413,1,0,0,0,0,0,0,0,0,0,0
414,1,0,0,0,0,0,0,0,0,0,0
415,1,0,0,0,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0,0,0,0,0
417,1,0,0,0,0,0,0,0,0,0,0
418,1,1,1,0,1,1,0,1,1,1,1
419,1,0,0,0,0,0,0,0,0,0,0
420,1,1,1,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1,1,1,1,1
422,1,1,1,1,1,1,1,1,1,1,0
423,1,1,0,1,1,1,0,0,1,1,1
424,1,0,0,0,0,0,0,0,0,0,0
425,1,1,1,1,0,1,1,0,1,1,1
426,1,0,0,0,0,0,0,0,0,0,0
427,1,0,0,0,0,0,0,0,0,0,0
428,1,0,0,0,0,0,0,0,0,0,0
429,1,1,1,1,1,1,1,1,1,1,1
430,1,0,0,0,0,0,0,0,0,0,0
431,1,0,0,0,0,0,0,0,0,0,0
432,1,1,1,1,1,1,1,1,1,0,1
433,1,1,0,1,1,1,0,0,1,1,1
434,1,0,0,0,0,0,0,0,0,0,0
435,1,1,1,1,1,1,1,1,1,1,1
436,1,1,1,1,0,1,1,0,1,1,1
437,1,0,0,0,0,0,0,0,0,0,0
438,1,1,1,1,1,0,1,1,1,1,1
439,1,1,1,1,0,1,1,0,1,1,1
440,1,1,1,1,1,1,1,1,1,1,1
441,1,0,0,0,0,0,0,0,0,0,0
442,1,1,1,1,1,1,1,1,1,1,1
443,1,0,0,0,0,0,0,0,0,0,0
444,1,0,0,0,0,0,0,0,0,0,0
445,1,1,1,1,1,1,1,1,1,1,1
446,1,1,1,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1,1,1,0
448,1,0,0,0,0,0,0,0,0,0,0
449,1,1,1,0,1,1,0,1,1,1,1
450,1,0,0,0,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,0,0,0,0
452,1,1,1,1,1,1,1,1,1,1,1
453,1,0,0,0,0,0,0,0,0,0,0
454,1,0,0,0,0,0,0,0,0,0,0
455,1,1,1,1,1,0,1,1,1,1,1
456,1,1,0,1,1,1,0,0,1,1,1
457,1,0,0,0,0,0,0,0,0,0,0
458,1,0,0,0,0,0,0,0,0,0,0
459,1,1,1,0,1,1,0,1,1,1,1
460,1,0,0,0,0,0,0,0,0,0,0
461,1,0,0,0,0,0,0,0,0,0,0
462,1,0,0,0,0,0,0,0,0,0,0
463,1,0,0,0,0,0,0,0,0,0,0
464,1,1,1,0,1,1,0,1,1,1,1
465,1,1,1,1,1,1,1,1,1,1,0
466,1,1,1,1,1,0,1,1,1,1,1
467,1,1,1,1,1,1,1,1,1,1,0
468,1,1,1,1,1,1,1,1,1,1,1
469,1,1,0,1,1,1,0,0,1,1,1
470,1,1,1,1,1,1,1,1,1,1,0
471,1,0,0,0,0,0,0,0,0,0,0
472,1,0,0,0,0,0,0,0,0,0,0
473,1,1,1,1,1,0,1,1,1,1,1
474,1,0,0,0,0,0,0,0,0,0,0
475,1,0,0,0,0,0,0,0,0,0,0
476,1,0,0,0,0,0,0,0,0,0,0
477,1,1,0,1,1,1,0,0,1,1,1
478,1,1,1,1,0,1,1,0,1,1,1
479,1,1,1,1,1,1,1,1,1,1,0
480,1,1,1,1,1,0,1,1,1,1,1
481,1,1,1,1,1,1,1,1,1,1,1
482,1,1,1,1,1,1,1,1,1,1,1
483,1,0,0,0,0,0,0,0,0,0,0
484,1,0,0,0,0,0,0,0,0,0,0
485,1,0,0,0,0,0,0,0,0,0,0
486,1,0,0,0,0,0,0,0,0,0,0
487,1,1,1,1,1,1,1,1,1,0,1
488,1,1,1,1,1,0,1,1,1,1,1
489,1,0,0,0,0,0,0,0,0,0,0
490,1,0,0,0,0,0,0,0,0,0,0
491,1,1,0,1,1,1,0,0,1,1,1
492,1,1,1,0,1,1,0,1,1,1,1
